,molecule_chembl_id,standard_value,canonical_smiles,bio_class
0,CHEMBL207313,1990000.0,O=C(NCc1ccccc1)c1ccccc1,inactive
1,CHEMBL287556,16300.0,O=c1cc(CO)occ1O,inactive
3,CHEMBL205299,29000.0,O=C(NCc1ccc(O)cc1O)c1ccc(O)cc1O,inactive
4,CHEMBL205382,550000.0,O=C(NCc1cc(O)c(O)c(O)c1)c1ccc(O)cc1O,inactive
5,CHEMBL204473,1820000.0,O=C(NCc1ccc(O)cc1)c1ccc(O)cc1O,inactive
6,CHEMBL207298,1660000.0,O=C(NCc1ccccc1)c1ccc(O)cc1O,inactive
8,CHEMBL437510,2200.0,O=C(NCc1ccc(O)cc1O)c1cc(O)cc(O)c1,intermediate
9,CHEMBL205545,705000.0,O=C(NCc1cc(O)c(O)c(O)c1)c1cc(O)cc(O)c1,inactive
10,CHEMBL440222,710000.0,O=C(NCc1ccc(O)cc1)c1cc(O)cc(O)c1,inactive
11,CHEMBL382898,700000.0,O=C(NCc1ccccc1)c1cc(O)cc(O)c1,inactive
13,CHEMBL206902,11000.0,O=C(NCc1ccc(O)cc1O)c1ccc(O)c(O)c1,inactive
14,CHEMBL207537,280000.0,O=C(NCc1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1,inactive
15,CHEMBL207506,2000000.0,O=C(NCc1ccc(O)cc1)c1ccc(O)c(O)c1,inactive
16,CHEMBL381344,2000000.0,O=C(NCc1ccccc1)c1ccc(O)c(O)c1,inactive
18,CHEMBL207146,17000.0,O=C(NCc1ccc(O)cc1O)c1cc(O)c(O)c(O)c1,inactive
19,CHEMBL206979,555000.0,O=C(NCc1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,inactive
20,CHEMBL206102,1180000.0,O=C(NCc1ccc(O)cc1)c1cc(O)c(O)c(O)c1,inactive
21,CHEMBL208385,780000.0,O=C(NCc1ccccc1)c1cc(O)c(O)c(O)c1,inactive
22,CHEMBL226494,1300.0,O=C(CCCCC1CCS[Zn]S1)NC(Cc1c[nH]cn1)C(=O)[O-].[Na+],intermediate
23,CHEMBL228155,1850.0,O=C(O)CCc1ccc(O)cc1O,intermediate
24,CHEMBL228162,220.0,CCOC(=O)CCc1ccc(O)cc1O,active
25,CHEMBL228164,70.0,CC(C)OC(=O)CCc1ccc(O)cc1O,active
26,CHEMBL228165,700.0,CCCCCCCCOC(=O)CCc1ccc(O)cc1O,active
27,CHEMBL228166,14870.0,CC(C)(C)OC(=O)CCc1ccc(O)cc1O,inactive
28,CHEMBL228219,180.0,CC(C)(C)COC(=O)CCc1ccc(O)cc1O,active
29,CHEMBL228220,150.0,CCC(C)(C)C(OC(=O)CCc1ccc(O)cc1O)C(C)(C)CC,active
30,CHEMBL129371,120000.0,O=C(/C=C/c1ccccc1)c1c(O)cc(O)cc1O,inactive
31,CHEMBL287556,12000.0,O=c1cc(CO)occ1O,inactive
32,CHEMBL244249,1000.0,O=C(/C=C/c1ccc(O)cc1O)c1c(O)cc(O)cc1O,active
33,CHEMBL244248,3100.0,COc1cc(O)cc(O)c1C(=O)/C=C/c1ccc(O)cc1O,intermediate
34,CHEMBL394855,5000.0,O=C(/C=C/c1ccc(O)cc1O)c1ccc(O)cc1O,intermediate
35,CHEMBL243831,150000.0,COc1ccc(/C=C/C(=O)c2c(O)cc(O)cc2O)cc1OC,inactive
36,CHEMBL429284,200000.0,O=C(/C=C/c1cc(O)c(O)c(O)c1)c1c(O)cc(O)cc1O,inactive
37,CHEMBL243619,193000.0,O=C(/C=C/c1cccc(O)c1O)c1c(O)cc(O)cc1O,inactive
38,CHEMBL236896,2000.0,COc1ccc(-c2nc(-c3ccc(O)cc3O)cs2)c(OC)c1,intermediate
39,CHEMBL236897,100.0,Cc1ccnc(Nc2nc(-c3ccc(O)cc3O)cs2)c1,active
40,CHEMBL537,33480.0,Oc1ccc(O)cc1,inactive
41,CHEMBL248499,34.0,Oc1ccc(-c2ccc3cc(O)ccc3c2)c(O)c1,active
